customer_id,level,source,event_id,description,occurrence_count,safety_keyword
mr190395,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,357714,helium
mr190395,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,357714,helium
mr190395,I,MRI_HEC,1032,Helium compressor unit is running.,357714,helium
mr190395,I,MRI_FRR,278,Emergency docking released.,258333,emergency
mr190395,I,MRI_HEC,1018,Helium compressor Event log has updated.,250105,helium
mr190395,I,MRI_HEC,1023,Helium compressor Daily log has updated.,250096,helium
mr190395,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,250012,helium
mr190395,S,MRI_FRR,278,Emergency docking released.,99367,emergency
mr190519,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,257723,helium
mr190519,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,257723,helium
mr190519,I,MRI_HEC,1032,Helium compressor unit is running.,257723,helium
mr190519,I,MRI_FRR,278,Emergency docking released.,257687,emergency
mr190519,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",181827,shutdown
mr190519,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,181807,shutdown
mr190519,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,181807,shutdown
