level,source,event_id,masked_description,occurrence_count
I,ExportImportFramework,0,The process syngo.Common.Starter.exe has finished and the exitCode was 0.,5463
E,NLS_SysLogService,0,CDMA exception occured while remote search.,5456
E,syngo_TransferFramework_SysLogService,0,An error was detected in the local configuration of remote Network System Device WAHPACS.,5456
I,MRI_PTG,225,PTAB y-axis is on ZHEIGHT_NEAR position Y-Position is: <NUM_ID>,5294
W,DeveloperLog_DevLogService,0,Count is zero,5233
I,Event_UsageTrail,0,"<Event type=""UtilizationEvent"" name =""DataStorage_DistributionStep_Distribute"" time=""<DATE> <TIME>Z""> <Version>1.0</Version> <ClientHost>RPMRSOLA</ClientHost> <ServerHost>RPMRSOLA</ServerHost> <DistributionType>Workflow</DistributionType> <DistributionSource>DirectSend</DistributionSource> <NumberOfItems>1</NumberOfItems> <NumberOfNodes>1</NumberOfNodes> <NumberOfTotalIntents>1</NumberOfTotalIntents> </Event>",5205
I,MRI_COS,20,IRIS prepare time: 35 ms,5167
I,MRI_COS,20,IRIS prepare time: 20 ms,5136
I,DeveloperLog_DevLogService,0,Storage-Service: Istances = 2 | Archivable = 2 | Contracts = 2.,5116
I,MRI_FRR,910,Current coil temperatures (degree C): board: 31.75,5113
I,DeveloperLog_DevLogService,0,Convert shortcut from resx don't pass: Requested value 'ST' was not found.,5090
I,MRI_FRR,269,"PTAB Docking State: 5, detail values see extended message description.",5090
I,DeveloperLog_DevLogService,0,Open Testchannel net.pipe://localhost/syngo.MR.ModalityViewer.WatchDog.<NUM_ID>/WatchDog,5043
I,MRI_CCS,1008,Connected coils Plugs/PN/Rev./SN/Name: CoilID 'Body'/1:   Plugs: '0' PN: '<NUM_ID>' Rev.: '07' SN: '4386' Name: '' CoilID 'HeadNeck_20_TCS'/1:   Plugs: '6' '5' PN: '<NUM_ID>' Rev.: '03' SN: '2615' Name: '' CoilID 'Spine_32_RS'/1:   Plugs: '7' '8' PN: '' Rev.: '' SN: '' Name: ''PN: '<NUM_ID>' Rev.: '01' SN: '1942' Name: '',5037
I,MRI_PAC,104,The following licenses are needed to run the protocol   MRI_CV_MAIN N_TimApplication.,4930
I,MRI_MSR,100,"Start prepare. (Protocol: 'AdjFieldMap', Sequence: '%AdjustSeq%/AdjFieldMapSeq')",4929
I,MRI_MSR,102,"Preparation OK (Protocol: 'AdjFieldMap', Sequence: '%AdjustSeq%/AdjFieldMapSeq')",4925
I,MRI_MSR,103,"Start measurement. (Protocol: 'AdjFieldMap', Sequence: '%AdjustSeq%/AdjFieldMapSeq')",4925
I,MRI_CCS,11,"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,1125,1124,111c,111d,0,0'. Connected coil elements: BC,HE2,4,NE2,SP1-8.)",4901
I,MRI_MSR,104,"Measurement finished OK. (Protocol: 'AdjFieldMap', Sequence: '%AdjustSeq%/AdjFieldMapSeq')",4842
